Cuda,ROI #,Method,Average Time (s)
True,1,Fastest,0.055067166666666674
True,1,Best,0.08934109999999999
True,5,Fastest,0.1031905
True,5,Best,0.4848033000000001
True,10,Fastest,0.20058663333333338
True,10,Best,0.9926726333333333
True,15,Fastest,0.30888879999999996
True,15,Best,1.654771166666667
True,20,Fastest,0.40176186666666674
True,20,Best,2.418102033333333
True,25,Fastest,0.49502446666666666
True,25,Best,3.1876186333333334
False,1,Fastest,0.060232299999999996
False,1,Best,0.8962671666666665
False,5,Fastest,0.2717870666666667
False,5,Best,4.910933433333333
False,10,Fastest,0.5272557333333332
False,10,Best,9.825099666666667
False,15,Fastest,0.8046896666666664
False,15,Best,14.97336793333333
False,20,Fastest,1.0984360666666668
False,20,Best,20.33533506666667
False,25,Fastest,1.3514610999999996
False,25,Best,24.94589986666667
