Outlier,Compared
"0,1,daheng_6mm,35,100,45,45,100,Big,0.4666666666666667,0.3666666666666666","0,1,daheng_6mm,35,50,60,60,100,Medium,1.0,0.9"
"0,2,daheng_25mm,150,100,0,0,100,Big,0.0666666666666666,0.7333333333333333","0,2,daheng_25mm,150,50,45,45,100,Medium,0.0,1.0"
"0,2,daheng_25mm,150,100,0,0,100,Big,0.0666666666666666,0.7333333333333333","0,2,daheng_25mm,200,50,45,45,100,Medium,0.0,0.9"
"1,2,daheng_25mm,150,100,0,0,100,Big,0.0,0.8666666666666667","1,2,daheng_25mm,150,50,45,45,100,Medium,0.0,1.0"
"1,2,daheng_25mm,150,100,0,0,100,Big,0.0,0.8666666666666667","1,2,daheng_25mm,200,50,45,45,100,Medium,0.0,1.0"
"2,2,daheng_25mm,150,100,0,0,100,Big,0.0,0.8666666666666667","2,2,daheng_25mm,150,50,45,45,100,Medium,0.0,1.0"
"2,2,daheng_25mm,150,100,0,0,100,Big,0.0,0.8666666666666667","2,2,daheng_25mm,200,50,45,45,100,Medium,0.0,0.9666666666666668"
"4,0,daheng_12mm,100,100,0,0,100,Big,0.5333333333333333,0.8","4,0,daheng_12mm,100,50,45,45,100,Medium,0.0666666666666666,0.8333333333333334"
"4,1,daheng_12mm,100,100,0,0,100,Big,0.1666666666666666,0.1","4,1,daheng_12mm,100,0,45,45,100,Medium,0.0,0.1666666666666666"
"4,1,daheng_12mm,100,100,0,0,100,Big,0.1666666666666666,0.1","4,1,daheng_12mm,100,50,45,45,100,Medium,0.0,0.2333333333333333"
"4,1,daheng_12mm,100,50,0,0,100,Big,0.1,0.0","4,1,daheng_12mm,100,0,45,45,100,Medium,0.0,0.1666666666666666"
"4,1,daheng_12mm,100,50,0,0,100,Big,0.1,0.0","4,1,daheng_12mm,100,0,45,45,100,Small,0.0,0.0333333333333333"
"4,1,daheng_12mm,75,100,0,0,100,Big,0.5666666666666667,0.1","4,1,daheng_12mm,100,0,45,45,100,Medium,0.0,0.1666666666666666"
"4,1,daheng_12mm,75,100,0,0,100,Big,0.5666666666666667,0.1","4,1,daheng_12mm,100,50,45,45,100,Medium,0.0,0.2333333333333333"
"4,1,daheng_12mm,75,50,0,0,100,Big,0.3666666666666666,0.0333333333333333","4,1,daheng_12mm,100,0,45,45,100,Medium,0.0,0.1666666666666666"
"4,1,daheng_25mm,150,50,0,0,100,Big,0.2333333333333333,0.0","4,1,daheng_25mm,150,0,45,45,100,Medium,0.0,0.1"
"4,1,daheng_6mm,35,100,0,0,100,Big,0.3666666666666666,0.0333333333333333","4,1,daheng_6mm,35,50,45,60,100,Medium,0.0,0.2666666666666666"
"4,1,daheng_6mm,35,100,0,0,100,Big,0.3666666666666666,0.0333333333333333","4,1,daheng_6mm,35,50,60,45,100,Medium,0.0,0.5"
"4,1,daheng_6mm,35,100,0,0,100,Big,0.3666666666666666,0.0333333333333333","4,1,daheng_6mm,50,50,45,60,100,Medium,0.0,0.1666666666666666"
"4,1,daheng_6mm,35,100,0,45,100,Big,0.4,0.0666666666666666","4,1,daheng_6mm,35,50,45,60,100,Medium,0.0,0.2666666666666666"
"4,1,daheng_6mm,35,100,0,45,100,Big,0.4,0.0666666666666666","4,1,daheng_6mm,50,50,45,60,100,Medium,0.0,0.1666666666666666"
"4,1,daheng_6mm,35,100,45,0,100,Big,0.1333333333333333,0.0","4,1,daheng_6mm,35,50,60,45,100,Medium,0.0,0.5"
"4,1,daheng_6mm,50,100,0,0,100,Big,0.0,0.1333333333333333","4,1,daheng_6mm,50,50,45,60,100,Medium,0.0,0.1666666666666666"
"4,1,daheng_6mm,50,100,0,45,100,Big,0.1,0.1333333333333333","4,1,daheng_6mm,50,50,45,60,100,Medium,0.0,0.1666666666666666"
"4,3,daheng_25mm,150,100,0,0,100,Big,0.0,0.2666666666666666","4,3,daheng_25mm,200,50,45,45,100,Medium,0.0,0.4"
"4,3,daheng_6mm,35,100,0,0,100,Big,0.0,0.4","4,3,daheng_6mm,35,50,45,60,100,Medium,0.0,0.9333333333333332"
"4,3,daheng_6mm,35,100,0,0,100,Big,0.0,0.4","4,3,daheng_6mm,35,50,60,45,100,Medium,0.0,0.9666666666666668"
"4,3,daheng_6mm,35,100,0,0,100,Big,0.0,0.4","4,3,daheng_6mm,35,50,60,60,100,Medium,0.0,0.6"
"4,3,daheng_6mm,35,100,0,0,100,Big,0.0,0.4","4,3,daheng_6mm,50,50,45,60,100,Medium,0.0,0.6666666666666666"
"4,3,daheng_6mm,35,100,0,45,100,Big,0.1666666666666666,0.1333333333333333","4,3,daheng_6mm,35,50,45,60,100,Medium,0.0,0.9333333333333332"
"4,3,daheng_6mm,35,100,0,45,100,Big,0.1666666666666666,0.1333333333333333","4,3,daheng_6mm,35,50,60,60,100,Medium,0.0,0.6"
"4,3,daheng_6mm,35,100,0,45,100,Big,0.1666666666666666,0.1333333333333333","4,3,daheng_6mm,50,50,45,60,100,Medium,0.0,0.6666666666666666"
